,auc,acc,sen,spe,bac,mcc,cutoff,data
LGBMClassifier,0.9165979555106347,0.8645294725956567,0.821882951653944,0.8937282229965157,0.8578055873252298,0.7183389996019268,0.3179975790904559,DeepLocBERT
RandomForestClassifier,0.8855937087178942,0.8252326783867632,0.6590330788804071,0.9390243902439024,0.7990287345621547,0.6385779858384422,0.4721670138555595,DeepLocBERT
SVMClassifier,0.8392668741300281,0.8159255429162358,0.7862595419847328,0.8362369337979094,0.8112482378913211,0.6201504217270706,0.39397884890629536,DeepLocBERT
NNClassifier,0.9158000195051024,0.8490175801447777,0.821882951653944,0.867595818815331,0.8447393852346374,0.6878797174086398,0.35194987058639526,DeepLocBERT
LGBMClassifier,0.9209910365188712,0.8448810754912099,0.8091603053435115,0.8693379790940766,0.839249142218794,0.6784982844375881,0.2917037768433698,DeepLocAlbert
RandomForestClassifier,0.8596253247156246,0.8045501551189245,0.648854961832061,0.9111498257839721,0.7800023938080165,0.5914016315453329,0.46296315024131884,DeepLocAlbert
SVMClassifier,0.49485552925322057,0.59358841778697,0.0,1.0,0.5,0.0,1.406519033601494,DeepLocAlbert
NNClassifier,0.9257387557517887,0.8645294725956567,0.8320610687022901,0.8867595818815331,0.8594103252919116,0.7191107991202411,0.3182281255722046,DeepLocAlbert
LGBMClassifier,0.9362005833798797,0.8552223371251293,0.8625954198473282,0.8501742160278746,0.8563848179376015,0.7053542760293138,0.2764543277351322,DeepLocT5
RandomForestClassifier,0.9032192284845422,0.8076525336091003,0.8396946564885496,0.7857142857142857,0.8127044711014176,0.6155816245869762,0.3493137236874749,DeepLocT5
SVMClassifier,0.864701084306372,0.8304033092037229,0.8269720101781171,0.8327526132404182,0.8298623117092676,0.6535480843545343,0.39395178331108194,DeepLocT5
NNClassifier,0.9419767534643722,0.8738366080661841,0.8727735368956743,0.8745644599303136,0.873668998412994,0.7416102057550285,0.30267271399497986,DeepLocT5
LGBMClassifier,0.9403099538083713,0.8728024819027922,0.8371501272264631,0.8972125435540069,0.867181335390235,0.7358811347321194,0.2815121037931696,DeepLocT5FT
RandomForestClassifier,0.9082063285191194,0.8252326783867632,0.8549618320610687,0.8048780487804879,0.8299199404207782,0.6499322632700427,0.36619249181105146,DeepLocT5FT
SVMClassifier,0.8680590649963207,0.8304033092037229,0.8473282442748091,0.818815331010453,0.833071787642631,0.6574177289079157,0.37434092248282014,DeepLocT5FT
NNClassifier,0.9379338777030083,0.8769389865563598,0.7989821882951654,0.9303135888501742,0.8646478885726698,0.7435737539120485,0.45076748728752136,DeepLocT5FT
