,auc,acc,sen,spe,bac,mcc,cutoff,data
LGBMClassifier,0.921110726919701,0.8645294725956567,0.8244274809160306,0.89198606271777,0.8582067718169003,0.7185124377399548,0.3235377630574945,DeepLocBERT
RandomForestClassifier,0.892504721121366,0.8252326783867632,0.6844783715012722,0.921602787456446,0.8030405794788591,0.6357137283024276,0.44625925129776817,DeepLocBERT
SVMClassifier,0.848839889707512,0.8252326783867632,0.8040712468193384,0.8397212543554007,0.8218962505873695,0.6402685203161346,0.38698894356034463,DeepLocBERT
NNClassifier,0.9290856539972161,0.8655635987590486,0.8015267175572519,0.9094076655052264,0.8554671915312392,0.7195700564037822,0.401793897151947,DeepLocBERT
LGBMClassifier,0.9264258673121083,0.8614270941054809,0.7862595419847328,0.9128919860627178,0.8495757640237254,0.7107625202553975,0.3448596547286469,DeepLocAlbert
RandomForestClassifier,0.8661905648500324,0.8148914167528438,0.6590330788804071,0.921602787456446,0.7903179331684265,0.6142745527921233,0.45487068310207174,DeepLocAlbert
SVMClassifier,0.49272548341622996,0.59358841778697,0.0,1.0,0.5,0.0,1.4064873981937556,DeepLocAlbert
NNClassifier,0.937880681969306,0.8697001034126164,0.816793893129771,0.9059233449477352,0.8613586190387531,0.7285244768197288,0.3762643337249756,DeepLocAlbert
LGBMClassifier,0.9370118183188374,0.8759048603929679,0.816793893129771,0.9163763066202091,0.86658509987499,0.7412987208740976,0.3789810185292591,DeepLocT5
RandomForestClassifier,0.9086717911890133,0.8459152016546019,0.7684478371501272,0.8989547038327527,0.8337012704914399,0.6781011505645209,0.4194471755357174,DeepLocT5
SVMClassifier,0.86810561126331,0.8200620475698035,0.7888040712468194,0.8414634146341463,0.8151337429404828,0.6283429155938121,0.3895942489476491,DeepLocT5
NNClassifier,0.9488700339566101,0.8914167528438469,0.7989821882951654,0.9547038327526133,0.8768430105238894,0.7752994086955421,0.4721524715423584,DeepLocT5
LGBMClassifier,0.944454788059331,0.8852119958634953,0.821882951653944,0.9285714285714286,0.8752271901126862,0.7607941601710481,0.35687566293341066,DeepLocT5FT
RandomForestClassifier,0.9156049684815277,0.8614270941054809,0.7938931297709924,0.9076655052264808,0.8507793174987366,0.7108394430940175,0.4053085185702643,DeepLocT5FT
SVMClassifier,0.8748792013547182,0.8304033092037229,0.8549618320610687,0.813588850174216,0.8342753411176423,0.6590510421454531,0.3671065091847823,DeepLocT5FT
NNClassifier,0.9503595145002703,0.889348500517063,0.8346055979643766,0.926829268292683,0.8807174331285298,0.7694793211194503,0.42531952261924744,DeepLocT5FT
